uid,rec_result
1,176633,210534,284295,277922,257048,102591,351262,252570,238214,297994
2,351262,238214,257048,102591,252570,210534,176633,277922,284295,297994
3,297994,277922,238214,176633,284295,210534,102591,257048,252570,351262
4,210534,252570,176633,238214,277922,284295,257048,351262,102591,297994
5,284295,252570,102591,210534,277922,297994,257048,238214,351262,176633
6,257048,210534,284295,297994,252570,351262,102591,238214,176633,277922
7,351262,257048,277922,284295,210534,102591,176633,238214,252570,297994
8,284295,210534,102591,277922,252570,297994,257048,351262,176633,238214
9,277922,238214,351262,257048,284295,210534,252570,297994,102591,176633
10,284295,176633,252570,102591,297994,210534,277922,238214,257048,351262
11,284295,277922,252570,297994,176633,210534,351262,102591,257048,238214
12,238214,176633,257048,284295,102591,210534,277922,252570,297994,351262
13,277922,297994,284295,210534,176633,252570,102591,257048,351262,238214
14,176633,102591,351262,284295,257048,297994,277922,238214,252570,210534
15,284295,176633,297994,257048,102591,210534,277922,351262,252570,238214
16,210534,351262,284295,257048,176633,102591,277922,238214,252570,297994
17,238214,351262,297994,102591,210534,277922,252570,257048,284295,176633
18,277922,176633,351262,102591,297994,257048,252570,284295,238214,210534
19,284295,351262,102591,257048,277922,238214,210534,176633,252570,297994
20,102591,176633,297994,238214,257048,284295,351262,210534,277922,252570
21,351262,297994,176633,284295,238214,277922,210534,257048,102591,252570
22,102591,210534,277922,176633,297994,284295,351262,257048,252570,238214
23,252570,284295,102591,277922,351262,297994,210534,176633,238214,257048
24,210534,284295,351262,257048,176633,277922,252570,238214,102591,297994
25,252570,277922,257048,297994,284295,176633,102591,238214,351262,210534
26,252570,176633,238214,351262,277922,284295,297994,210534,102591,257048
27,277922,238214,297994,252570,176633,351262,210534,102591,257048,284295
28,102591,351262,210534,284295,176633,238214,257048,277922,297994,252570
29,257048,102591,277922,252570,210534,351262,297994,238214,284295,176633
30,297994,102591,252570,238214,284295,257048,210534,176633,277922,351262
31,102591,176633,351262,210534,297994,238214,284295,257048,252570,277922
32,297994,277922,351262,210534,102591,252570,176633,257048,284295,238214
33,238214,284295,257048,252570,351262,210534,102591,297994,277922,176633
34,257048,238214,351262,102591,176633,297994,252570,210534,277922,284295
35,210534,297994,277922,252570,351262,176633,102591,257048,238214,284295
36,277922,176633,284295,102591,210534,238214,351262,257048,297994,252570
37,252570,277922,210534,238214,297994,284295,351262,176633,102591,257048
38,210534,257048,351262,297994,277922,252570,284295,102591,176633,238214
39,351262,210534,238214,102591,284295,176633,257048,277922,252570,297994
40,284295,252570,257048,238214,102591,176633,210534,351262,277922,297994
41,102591,210534,297994,277922,252570,176633,351262,238214,284295,257048
42,102591,257048,297994,351262,176633,210534,252570,284295,238214,277922
43,238214,284295,277922,210534,176633,351262,257048,297994,252570,102591
44,210534,102591,351262,252570,297994,176633,238214,257048,284295,277922
45,277922,102591,210534,176633,284295,351262,238214,297994,252570,257048
46,238214,210534,176633,297994,284295,351262,252570,257048,102591,277922
47,351262,257048,297994,210534,277922,176633,284295,102591,252570,238214
48,284295,102591,297994,277922,252570,238214,176633,210534,257048,351262
49,284295,277922,351262,238214,176633,102591,297994,257048,210534,252570
50,284295,238214,277922,297994,252570,176633,257048,351262,210534,102591
51,257048,252570,238214,351262,277922,297994,284295,210534,102591,176633
52,210534,176633,297994,238214,102591,257048,284295,252570,351262,277922
53,252570,277922,257048,210534,284295,102591,238214,297994,176633,351262
54,238214,176633,351262,257048,277922,102591,284295,297994,252570,210534
55,102591,252570,176633,297994,284295,277922,238214,257048,210534,351262
56,284295,257048,297994,238214,176633,277922,102591,252570,351262,210534
57,351262,252570,238214,176633,284295,102591,297994,257048,210534,277922
58,102591,297994,210534,277922,238214,257048,176633,284295,351262,252570
59,297994,210534,176633,284295,238214,257048,277922,252570,351262,102591
60,284295,102591,210534,297994,252570,176633,257048,351262,277922,238214
61,277922,252570,257048,284295,351262,210534,238214,176633,297994,102591
62,238214,102591,210534,176633,351262,257048,277922,297994,252570,284295
63,210534,238214,284295,176633,277922,257048,102591,351262,297994,252570
64,210534,252570,284295,297994,257048,277922,238214,102591,176633,351262
65,257048,238214,297994,284295,176633,277922,351262,102591,210534,252570
66,252570,257048,176633,210534,297994,351262,102591,238214,284295,277922
67,252570,102591,277922,257048,176633,351262,238214,284295,297994,210534
68,284295,351262,277922,297994,257048,252570,102591,176633,238214,210534
69,102591,238214,297994,176633,252570,210534,277922,257048,351262,284295
70,210534,284295,277922,297994,351262,176633,257048,238214,102591,252570
71,102591,238214,257048,284295,277922,252570,210534,351262,297994,176633
72,238214,252570,102591,284295,257048,210534,277922,176633,297994,351262
73,284295,210534,238214,102591,297994,277922,176633,252570,351262,257048
74,238214,257048,102591,176633,210534,297994,351262,277922,284295,252570
75,210534,252570,102591,277922,238214,351262,176633,297994,284295,257048
76,277922,238214,257048,252570,210534,176633,102591,284295,297994,351262
77,297994,257048,176633,252570,351262,210534,284295,102591,277922,238214
78,238214,351262,257048,210534,277922,252570,297994,284295,102591,176633
79,351262,284295,252570,176633,277922,238214,102591,297994,210534,257048
80,277922,176633,297994,351262,284295,210534,238214,102591,257048,252570
81,102591,284295,252570,210534,176633,277922,238214,257048,351262,297994
82,252570,284295,277922,176633,257048,351262,102591,297994,210534,238214
83,277922,284295,238214,257048,351262,102591,252570,176633,297994,210534
84,297994,252570,277922,102591,284295,210534,238214,257048,176633,351262
85,210534,297994,277922,257048,238214,102591,351262,252570,176633,284295
86,210534,102591,252570,277922,238214,297994,284295,176633,351262,257048
87,351262,176633,238214,297994,257048,252570,210534,102591,277922,284295
88,176633,210534,297994,102591,351262,238214,257048,252570,277922,284295
89,348230,277922,210534,257048,176633,126277,102591,351262,284295,238214
90,257048,297994,351262,210534,102591,252570,176633,238214,284295,277922
91,210534,238214,176633,351262,284295,102591,277922,252570,297994,257048
92,351262,284295,102591,238214,176633,297994,210534,252570,277922,257048
93,252570,297994,176633,238214,257048,351262,102591,210534,284295,277922
94,277922,252570,284295,102591,210534,257048,297994,351262,238214,176633
95,277922,297994,176633,257048,252570,238214,351262,210534,284295,102591
96,257048,351262,284295,252570,102591,210534,176633,277922,238214,297994
97,176633,252570,284295,102591,257048,277922,210534,351262,297994,238214
98,297994,284295,252570,277922,257048,238214,210534,176633,351262,102591
99,176633,102591,238214,210534,277922,351262,284295,252570,297994,257048
100,297994,257048,277922,284295,238214,210534,102591,351262,252570,176633
101,210534,176633,277922,297994,102591,284295,238214,257048,252570,351262
102,277922,210534,252570,238214,351262,176633,284295,257048,102591,297994
103,257048,176633,238214,297994,102591,210534,351262,277922,284295,252570
104,210534,351262,176633,238214,252570,257048,297994,102591,277922,284295
105,257048,351262,176633,238214,102591,284295,277922,252570,210534,297994
106,210534,297994,257048,277922,284295,102591,252570,238214,176633,351262
107,297994,102591,176633,277922,284295,252570,257048,210534,351262,238214
108,297994,252570,277922,210534,257048,238214,284295,102591,351262,176633
109,102591,176633,238214,257048,210534,284295,252570,297994,351262,277922
110,284295,238214,257048,297994,252570,210534,351262,176633,277922,102591
111,238214,277922,102591,351262,297994,284295,176633,210534,252570,257048
112,102591,252570,284295,238214,351262,210534,277922,297994,257048,176633
113,284295,257048,238214,277922,210534,297994,176633,102591,252570,351262
